AnimalID,Name,DateTime,FoundLocation,Latitude,Longitude,IntakeType,IntakeCondition,AnimalType,IntakeSex,IntakeAge,Breed
A766088,,2/1/18 13:43,Elroy Road And Texas 130 Tollway in Austin (TX),,,Stray,Normal,Dog,Intact Female,8 months,Pit Bull Mix
A720304,Zeus,2/1/18 15:17,1010 Turtle Creek Boulevard in Austin (TX),30.205619,-97.7887779,Stray,Normal,Dog,Neutered Male,12 years,Pit Bull Mix
A766145,Princess,2/2/18 16:42,200 Chaparral Rd in Austin (TX),30.188743,-97.778268,Stray,Injured,Dog,Intact Female,11 months,Pit Bull/Labrador Retriever
A766146,Rocky,2/2/18 17:21,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A766149,Mr. Dude,2/2/18 17:53,Robinson Avenue And East 30Th Street in Austin (TX),30.2875478,-97.7226728,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A766163,Glock,2/3/18 12:47,13635 Rutledge Spur in Austin (TX),30.476263,-97.7808726,Stray,Normal,Dog,Intact Male,2 months,Pit Bull Mix
A766189,*Marten,2/4/18 7:52,2011 Willow Street in Austin (TX),30.255263,-97.7229788,Public Assist,Injured,Dog,Intact Male,7 months,Pit Bull Mix
A766190,*Chuck,2/4/18 10:50,Lott Avenue And Webberville in Austin (TX),,,Stray,Normal,Dog,Intact Male,7 years,Pit Bull Mix
A737854,Zeus,2/4/18 11:15,Outside Jurisdiction,,,Owner Surrender,Normal,Dog,Spayed Female,1 year,German Shepherd/Pit Bull
A766235,Chato,2/5/18 8:13,6812 Breezy Hill in Austin (TX),30.3099164,-97.6373291,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A710164,Bailey,2/5/18 11:03,Austin (TX),30.267153,-97.7430608,Owner Surrender,Normal,Dog,Spayed Female,6 years,Pit Bull Mix
A766268,Sweet Pea,2/5/18 15:30,45Th & Avenue F in Austin (TX),30.3081793,-97.727451,Stray,Normal,Dog,Intact Female,4 years,Pit Bull Mix
A765190,Stella,2/5/18 16:33,Del Valle (TX),30.2091069,-97.6472349,Owner Surrender,Normal,Dog,Intact Female,9 months,Pit Bull Mix
A766316,Casper,2/6/18 14:37,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A766324,*Luke,2/6/18 17:02,Thomas Springs And Circle Drive in Del Valle (TX),30.2462297,-97.9272763,Stray,Normal,Dog,Neutered Male,2 years,Pit Bull Mix
A766331,Roxie,2/6/18 17:08,2600 North Lamar Boulevard in Austin (TX),30.2917208,-97.7498611,Stray,Normal,Dog,Spayed Female,2 years,Pit Bull Mix
A689828,Barbie,2/6/18 18:03,140000 Renaissance Court in Austin (TX),30.4364116,-97.6852296,Stray,Normal,Dog,Spayed Female,5 years,American Staffordshire Terrier Mix
A766337,Chico,2/7/18 10:33,Waywood Dr At Hollow Hook in Travis (TX),30.2745744,-97.6194082,Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever/Pit Bull
A751219,Phat Boy,2/7/18 10:58,Del Valle (TX),30.2091069,-97.6472349,Public Assist,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A672860,Miracle,2/7/18 11:38,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Spayed Female,5 years,Pit Bull Mix
A766352,Zoe,2/7/18 12:55,1100 W 38Th & Medical Pkwy in Austin (TX),30.3056829,-97.7441742,Public Assist,Normal,Dog,Intact Female,3 years,Pit Bull Mix
A698484,Xena,2/7/18 16:21,Austin (TX),30.267153,-97.7430608,Public Assist,Normal,Dog,Spayed Female,4 years,Pit Bull Mix
A766371,Hans,2/7/18 16:48,6310 Felix Ave in Austin (TX),30.2351802,-97.695831,Stray,Sick,Dog,Intact Male,1 year,Pit Bull Mix
A766376,Chanel,2/7/18 18:03,10610 Salt Mill Hollow in Austin (TX),30.452836,-97.806853,Stray,Normal,Dog,Intact Female,7 months,Pit Bull Mix
A741054,Greyson,2/7/18 18:03,10610 Salt Mill Hollow in Austin (TX),30.452836,-97.806853,Stray,Normal,Dog,Intact Male,2 years,Pit Bull Mix
A766388,Dream,2/8/18 11:25,8312 Interstate 35 North in Austin (TX),30.3470435,-97.6970982,Stray,Normal,Dog,Intact Female,11 months,Pit Bull Mix
A766408,Milly,2/8/18 13:50,1015 W William Cannon Drive in Austin (TX),30.1984013,-97.7930814,Stray,Normal,Dog,Intact Female,1 year,Pit Bull Mix
A730626,Buster,2/8/18 16:12,Grayson Ln in Austin (TX),30.289456,-97.708787,Stray,Injured,Dog,Intact Male,3 years,Pit Bull Mix
